"Category","Publications (total)"
1972,60
1973,77
1974,81
1975,99
1976,74
1977,67
1978,83
1979,92
1980,97
1981,111
1982,108
1983,104
1984,117
1985,99
1986,137
1987,138
1988,149
1989,189
1990,195
1991,253
1992,320
1993,326
1994,360
1995,414
1996,440
1997,495
1998,522
1999,549
2000,629
2001,640
2002,673
2003,689
2004,825
2005,809
2006,895
2007,989
2008,1032
2009,1205
2010,1330
2011,1363
2012,1516
2013,1641
2014,1680
2015,1683
2016,1856
2017,1849
2018,1989
2019,2080
2020,2394
2021,252
